Prcie,Unit,Date,Type,Area,Towards,Floor,Arichi,Elevator,Year,Pro,ProR,Decorate,Community,Address,PlotR,Address2,GreenR,Domain,Park,FinishYear
70,5982,2天前,3室2厅2卫,建面117㎡,南北向,低层(共31层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
70,5384,2天前,3室2厅2卫,建面130㎡,南北向,中层(共26层),"普通住宅	",有电梯,2017年,满两年,70年商品房,毛坯,水岸明珠,"高陵 - 
泾渭五路",容积率：3.50,所在地址：泾渭五路,绿化率：38%,所在区域：高陵,停车位：暂无信息,竣工时间：2018年
72,7058,2天前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2014年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
88,7586,4天前,3室2厅2卫,建面116㎡,南北向,低层(共29层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
80,6785,2天前,3室2厅2卫,建面117㎡,南北向,中层(共31层),"普通住宅	",有电梯,2017年,满两年,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
79,6810,2天前,3室2厅2卫,建面116㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
68,5862,2天前,3室2厅2卫,建面116㎡,南北向,暂无信息,"普通住宅	",有电梯,2017年,满五唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
65,5803,2天前,3室2厅1卫,建面112㎡,南北向,中层(共33层),"普通住宅	",有电梯,2012年,满二唯一,70年商品房,毛坯,奥韵华府,"泾渭新区 - 其他 - 
西韩路,近昭慧路",容积率：3.50,"所在地址：西韩路,近昭慧路",绿化率：38.6%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
75,6410,2天前,3室2厅2卫,建面117㎡,南北向,中层(共31层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
82,7130,1天前,3室2厅2卫,建面115㎡,南北向,中层(共17层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,隆基泰和万和郡,"其他 - 
沣泾大道,近经五路",容积率：3.49,"所在地址：沣泾大道,近经五路",绿化率：35%,所在区域：其他,停车位：暂无信息,竣工时间：暂无信息
70,6802,2天前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
69,7040,2天前,3室2厅2卫,建面98㎡,南北向,中层(共15层),"普通住宅	",有电梯,2018年,满两年,70年商品房,精装修,泾渭华府,"泾渭新区 - 马家湾 - 
泾渭五路,近长庆东路",容积率：4.12,"所在地址：泾渭五路,近长庆东路",绿化率：36%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
50,5681,2天前,2室2厅2卫,建面88㎡,南北向,低层(共16层),"普通住宅	",有电梯,2013年,满二唯一,70年商品房,毛坯,渭城风景,"泾渭新区 - 其他 - 
长庆东路21号",容积率：3.06,所在地址：长庆东路21号,绿化率：40%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
79,6810,2天前,3室2厅2卫,建面116㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2016年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
